Train Type,PIM Type,Attack,Epsilon,Clean Accuracy (%),Robust Accuracy (%),Attack Success Rate (%)
adversarial_train,non_pim,deepfool,0.1,95.75,34.93,65.07
adversarial_train,non_pim,fgsm,0.001,95.75,32.27,67.73
adversarial_train,non_pim,fgsm,0.01,95.75,13.0,87.0
adversarial_train,non_pim,fgsm,0.1,95.75,49.09,50.91
adversarial_train,non_pim,fgsm,0.5,95.75,49.61,50.39
adversarial_train,non_pim,ifgsm,0.001,95.75,8.25,91.75
adversarial_train,non_pim,ifgsm,0.01,95.75,4.91,95.09
adversarial_train,non_pim,ifgsm,0.1,95.75,71.07,28.93
adversarial_train,non_pim,ifgsm,0.5,95.75,84.65,15.35
adversarial_train,non_pim,pgd,0.001,95.75,8.46,91.54
adversarial_train,non_pim,pgd,0.01,95.75,5.38,94.62
adversarial_train,non_pim,pgd,0.1,95.75,75.14,24.86
adversarial_train,non_pim,pgd,0.5,95.75,91.33,8.67
adversarial_train,pim,deepfool,0.1,96.3,45.9,54.1
adversarial_train,pim,fgsm,0.001,96.3,49.69,50.31
adversarial_train,pim,fgsm,0.01,96.3,40.34,59.66
adversarial_train,pim,fgsm,0.1,96.3,51.71,48.29
adversarial_train,pim,fgsm,0.5,96.3,46.16,53.84
adversarial_train,pim,ifgsm,0.001,96.3,28.87,71.13
adversarial_train,pim,ifgsm,0.01,96.3,5.19,94.81
adversarial_train,pim,ifgsm,0.1,96.3,82.19,17.81
adversarial_train,pim,ifgsm,0.5,96.3,95.43,4.57
adversarial_train,pim,pgd,0.001,96.3,30.06,69.94
adversarial_train,pim,pgd,0.01,96.3,5.5,94.5
adversarial_train,pim,pgd,0.1,96.3,84.53,15.47
adversarial_train,pim,pgd,0.5,96.3,98.29,1.71
normal_train,non_pim,deepfool,0.1,95.1,19.4,80.6
normal_train,non_pim,fgsm,0.001,95.1,4.15,95.85
normal_train,non_pim,fgsm,0.01,95.1,3.42,96.58
normal_train,non_pim,fgsm,0.1,95.1,53.58,46.42
normal_train,non_pim,fgsm,0.5,95.1,46.58,53.42
normal_train,non_pim,ifgsm,0.001,95.1,0.0,100.0
normal_train,non_pim,ifgsm,0.01,95.1,0.0,100.0
normal_train,non_pim,ifgsm,0.1,95.1,53.31,46.69
normal_train,non_pim,ifgsm,0.5,95.1,75.76,24.24
normal_train,non_pim,pgd,0.001,95.1,0.0,100.0
normal_train,non_pim,pgd,0.01,95.1,0.0,100.0
normal_train,non_pim,pgd,0.1,95.1,57.99,42.01
normal_train,non_pim,pgd,0.5,95.1,88.01,11.99
normal_train,pim,deepfool,0.1,94.0,9.31,90.69
normal_train,pim,fgsm,0.001,94.0,15.69,84.31
normal_train,pim,fgsm,0.01,94.0,11.06,88.94
normal_train,pim,fgsm,0.1,94.0,50.8,49.2
normal_train,pim,fgsm,0.5,94.0,50.9,49.1
normal_train,pim,ifgsm,0.001,94.0,8.99,91.01
normal_train,pim,ifgsm,0.01,94.0,8.72,91.28
normal_train,pim,ifgsm,0.1,94.0,83.03,16.97
normal_train,pim,ifgsm,0.5,94.0,88.94,11.06
normal_train,pim,pgd,0.001,94.0,9.04,90.96
normal_train,pim,pgd,0.01,94.0,0.0,100.0
normal_train,pim,pgd,0.1,94.0,86.54,13.46
normal_train,pim,pgd,0.5,94.0,89.47,10.53
